action,notional,pnl,position_after,position_before,price,shares,timestamp
buy,10000.0,0.0,1,0,28901.329077632745,0.34600484888216365,2023-01-21 00:00:00
sell,9594.434419536525,-405.56558046347504,0,1,27729.19064727914,0.34600484888216365,2023-05-06 00:00:00
buy,9594.434419536525,0.0,1,0,24258.741282864525,0.3955042146524592,2023-05-20 00:00:00
sell,11530.258686958077,1935.8242674215523,0,1,29153.31432584111,0.3955042146524592,2023-06-17 00:00:00
sell,11530.258686958077,1935.8242674215523,-1,0,28968.440009577607,0.3955042146524592,2023-06-18 00:00:00
buy,11530.258686958077,0.0,1,-1,29043.80148388544,0.39699550671269684,2023-07-20 00:00:00
sell,14089.978494344461,2559.719807386383,0,1,35491.53140552114,0.39699550671269684,2023-07-30 00:00:00
sell,14089.978494344461,2559.719807386383,-1,0,36758.1910034565,0.39699550671269684,2023-07-31 00:00:00
buy,14089.978494344461,0.0,1,-1,34212.477838204155,0.41183741677460617,2023-09-25 00:00:00
sell,16641.689340645353,2551.7108463008926,0,1,40408.39579603608,0.41183741677460617,2023-11-03 00:00:00
sell,16641.689340645353,2551.7108463008926,-1,0,39737.30577183087,0.41183741677460617,2023-11-04 00:00:00
buy,16641.689340645353,0.0,1,-1,45477.28321201918,0.3659341140292023,2023-12-13 00:00:00
sell,17263.66602354436,621.9766828990072,0,1,47176.979028980844,0.3659341140292023,2023-12-30 00:00:00
sell,17263.66602354436,621.9766828990072,-1,0,48212.116104265944,0.3659341140292023,2023-12-31 00:00:00
